peak_id,retention_time,initial_time,final_time,peak_area,peak_height,date,solute_concentration_mM
0.70833,-82,,,,,2021-03-15,15.0
0.71667,-82,,,,,2021-03-15,15.0
0.72500,-83,,,,,2021-03-15,15.0
0.73333,-83,,,,,2021-03-15,15.0
0.74167,-83,,,,,2021-03-15,15.0
0.75000,-83,,,,,2021-03-15,15.0
0.75833,-83,,,,,2021-03-15,15.0
0.76667,-83,,,,,2021-03-15,15.0
0.77500,-83,,,,,2021-03-15,15.0
0.78333,-82,,,,,2021-03-15,15.0
0.79167,-81,,,,,2021-03-15,15.0
0.80000,-80,,,,,2021-03-15,15.0
0.80833,-79,,,,,2021-03-15,15.0
0.81667,-78,,,,,2021-03-15,15.0
0.82500,-77,,,,,2021-03-15,15.0
0.83333,-76,,,,,2021-03-15,15.0
0.84167,-75,,,,,2021-03-15,15.0
0.85000,-74,,,,,2021-03-15,15.0
0.85833,-73,,,,,2021-03-15,15.0
0.86667,-72,,,,,2021-03-15,15.0
0.87500,-71,,,,,2021-03-15,15.0
0.88333,-70,,,,,2021-03-15,15.0
0.89167,-69,,,,,2021-03-15,15.0
0.90000,-69,,,,,2021-03-15,15.0
0.90833,-68,,,,,2021-03-15,15.0
0.91667,-67,,,,,2021-03-15,15.0
0.92500,-66,,,,,2021-03-15,15.0
0.93333,-65,,,,,2021-03-15,15.0
0.94167,-64,,,,,2021-03-15,15.0
0.95000,-63,,,,,2021-03-15,15.0
0.95833,-63,,,,,2021-03-15,15.0
0.96667,-62,,,,,2021-03-15,15.0
0.97500,-62,,,,,2021-03-15,15.0
0.98333,-62,,,,,2021-03-15,15.0
0.99167,-62,,,,,2021-03-15,15.0
1.00000,-63,,,,,2021-03-15,15.0
1.00833,-63,,,,,2021-03-15,15.0
1.01667,-64,,,,,2021-03-15,15.0
1.02500,-64,,,,,2021-03-15,15.0
1.03333,-65,,,,,2021-03-15,15.0
1.04167,-65,,,,,2021-03-15,15.0
1.05000,-65,,,,,2021-03-15,15.0
1.05833,-65,,,,,2021-03-15,15.0
1.06667,-65,,,,,2021-03-15,15.0
1.07500,-65,,,,,2021-03-15,15.0
1.08333,-65,,,,,2021-03-15,15.0
1.09167,-64,,,,,2021-03-15,15.0
1.10000,-64,,,,,2021-03-15,15.0
1.10833,-64,,,,,2021-03-15,15.0
1.11667,-64,,,,,2021-03-15,15.0
1.12500,-64,,,,,2021-03-15,15.0
1.13333,-64,,,,,2021-03-15,15.0
1.14167,-64,,,,,2021-03-15,15.0
1.15000,-64,,,,,2021-03-15,15.0
1.15833,-64,,,,,2021-03-15,15.0
1.16667,-64,,,,,2021-03-15,15.0
1.17500,-64,,,,,2021-03-15,15.0
1.18333,-64,,,,,2021-03-15,15.0
1.19167,-64,,,,,2021-03-15,15.0
1.20000,-64,,,,,2021-03-15,15.0
1.20833,-64,,,,,2021-03-15,15.0
1.21667,-64,,,,,2021-03-15,15.0
1.22500,-64,,,,,2021-03-15,15.0
1.23333,-64,,,,,2021-03-15,15.0
1.24167,-64,,,,,2021-03-15,15.0
1.25000,-64,,,,,2021-03-15,15.0
1.25833,-64,,,,,2021-03-15,15.0
1.26667,-64,,,,,2021-03-15,15.0
1.27500,-64,,,,,2021-03-15,15.0
1.28333,-64,,,,,2021-03-15,15.0
1.29167,-63,,,,,2021-03-15,15.0
1.30000,-63,,,,,2021-03-15,15.0
1.30833,-63,,,,,2021-03-15,15.0
1.31667,-63,,,,,2021-03-15,15.0
1.32500,-63,,,,,2021-03-15,15.0
1.33333,-64,,,,,2021-03-15,15.0
1.34167,-64,,,,,2021-03-15,15.0
1.35000,-64,,,,,2021-03-15,15.0
1.35833,-64,,,,,2021-03-15,15.0
1.36667,-63,,,,,2021-03-15,15.0
1.37500,-63,,,,,2021-03-15,15.0
1.38333,-63,,,,,2021-03-15,15.0
1.39167,-63,,,,,2021-03-15,15.0
1.40000,-63,,,,,2021-03-15,15.0
1.40833,-63,,,,,2021-03-15,15.0
1.41667,-64,,,,,2021-03-15,15.0
1.42500,-64,,,,,2021-03-15,15.0
1.43333,-64,,,,,2021-03-15,15.0
1.44167,-64,,,,,2021-03-15,15.0
1.45000,-64,,,,,2021-03-15,15.0
1.45833,-64,,,,,2021-03-15,15.0
1.46667,-64,,,,,2021-03-15,15.0
1.47500,-65,,,,,2021-03-15,15.0
1.48333,-65,,,,,2021-03-15,15.0
1.49167,-65,,,,,2021-03-15,15.0
1.50000,-66,,,,,2021-03-15,15.0
1.50833,-66,,,,,2021-03-15,15.0
1.51667,-67,,,,,2021-03-15,15.0
1.52500,-67,,,,,2021-03-15,15.0
1.53333,-67,,,,,2021-03-15,15.0
1.54167,-68,,,,,2021-03-15,15.0
1.55000,-68,,,,,2021-03-15,15.0
1.55833,-69,,,,,2021-03-15,15.0
1.56667,-69,,,,,2021-03-15,15.0
1.57500,-70,,,,,2021-03-15,15.0
1.58333,-70,,,,,2021-03-15,15.0
1.59167,-71,,,,,2021-03-15,15.0
1.60000,-72,,,,,2021-03-15,15.0
1.60833,-73,,,,,2021-03-15,15.0
1.61667,-73,,,,,2021-03-15,15.0
1.62500,-74,,,,,2021-03-15,15.0
1.63333,-75,,,,,2021-03-15,15.0
1.64167,-76,,,,,2021-03-15,15.0
1.65000,-76,,,,,2021-03-15,15.0
1.65833,-77,,,,,2021-03-15,15.0
1.66667,-77,,,,,2021-03-15,15.0
1.67500,-78,,,,,2021-03-15,15.0
1.68333,-79,,,,,2021-03-15,15.0
1.69167,-80,,,,,2021-03-15,15.0
1.70000,-81,,,,,2021-03-15,15.0
1.70833,-82,,,,,2021-03-15,15.0
1.71667,-82,,,,,2021-03-15,15.0
1.72500,-83,,,,,2021-03-15,15.0
1.73333,-83,,,,,2021-03-15,15.0
1.74167,-84,,,,,2021-03-15,15.0
1.75000,-84,,,,,2021-03-15,15.0
1.75833,-85,,,,,2021-03-15,15.0
1.76667,-85,,,,,2021-03-15,15.0
1.77500,-86,,,,,2021-03-15,15.0
1.78333,-86,,,,,2021-03-15,15.0
1.79167,-87,,,,,2021-03-15,15.0
1.80000,-87,,,,,2021-03-15,15.0
1.80833,-87,,,,,2021-03-15,15.0
1.81667,-88,,,,,2021-03-15,15.0
1.82500,-88,,,,,2021-03-15,15.0
1.83333,-88,,,,,2021-03-15,15.0
1.84167,-88,,,,,2021-03-15,15.0
1.85000,-88,,,,,2021-03-15,15.0
1.85833,-88,,,,,2021-03-15,15.0
1.86667,-88,,,,,2021-03-15,15.0
1.87500,-88,,,,,2021-03-15,15.0
1.88333,-88,,,,,2021-03-15,15.0
1.89167,-88,,,,,2021-03-15,15.0
1.90000,-87,,,,,2021-03-15,15.0
1.90833,-87,,,,,2021-03-15,15.0
1.91667,-87,,,,,2021-03-15,15.0
1.92500,-87,,,,,2021-03-15,15.0
1.93333,-87,,,,,2021-03-15,15.0
1.94167,-86,,,,,2021-03-15,15.0
1.95000,-86,,,,,2021-03-15,15.0
1.95833,-86,,,,,2021-03-15,15.0
1.96667,-86,,,,,2021-03-15,15.0
1.97500,-86,,,,,2021-03-15,15.0
1.98333,-86,,,,,2021-03-15,15.0
1.99167,-86,,,,,2021-03-15,15.0
2.00000,-87,,,,,2021-03-15,15.0
2.00833,-87,,,,,2021-03-15,15.0
2.01667,-86,,,,,2021-03-15,15.0
2.02500,-86,,,,,2021-03-15,15.0
2.03333,-86,,,,,2021-03-15,15.0
2.04167,-86,,,,,2021-03-15,15.0
2.05000,-86,,,,,2021-03-15,15.0
2.05833,-86,,,,,2021-03-15,15.0
2.06667,-86,,,,,2021-03-15,15.0
2.07500,-85,,,,,2021-03-15,15.0
2.08333,-85,,,,,2021-03-15,15.0
2.09167,-84,,,,,2021-03-15,15.0
2.10000,-84,,,,,2021-03-15,15.0
2.10833,-83,,,,,2021-03-15,15.0
2.11667,-83,,,,,2021-03-15,15.0
2.12500,-82,,,,,2021-03-15,15.0
2.13333,-82,,,,,2021-03-15,15.0
2.14167,-82,,,,,2021-03-15,15.0
2.15000,-82,,,,,2021-03-15,15.0
2.15833,-81,,,,,2021-03-15,15.0
2.16667,-81,,,,,2021-03-15,15.0
2.17500,-81,,,,,2021-03-15,15.0
2.18333,-81,,,,,2021-03-15,15.0
2.19167,-80,,,,,2021-03-15,15.0
2.20000,-79,,,,,2021-03-15,15.0
2.20833,-78,,,,,2021-03-15,15.0
2.21667,-77,,,,,2021-03-15,15.0
2.22500,-77,,,,,2021-03-15,15.0
2.23333,-76,,,,,2021-03-15,15.0
2.24167,-75,,,,,2021-03-15,15.0
2.25000,-74,,,,,2021-03-15,15.0
2.25833,-73,,,,,2021-03-15,15.0
2.26667,-72,,,,,2021-03-15,15.0
2.27500,-71,,,,,2021-03-15,15.0
2.28333,-70,,,,,2021-03-15,15.0
2.29167,-68,,,,,2021-03-15,15.0
2.30000,-67,,,,,2021-03-15,15.0
2.30833,-66,,,,,2021-03-15,15.0
2.31667,-65,,,,,2021-03-15,15.0
2.32500,-64,,,,,2021-03-15,15.0
2.33333,-63,,,,,2021-03-15,15.0
2.34167,-62,,,,,2021-03-15,15.0
2.35000,-61,,,,,2021-03-15,15.0
2.35833,-60,,,,,2021-03-15,15.0
2.36667,-59,,,,,2021-03-15,15.0
2.37500,-58,,,,,2021-03-15,15.0
2.38333,-57,,,,,2021-03-15,15.0
2.39167,-56,,,,,2021-03-15,15.0
2.40000,-55,,,,,2021-03-15,15.0
2.40833,-54,,,,,2021-03-15,15.0
2.41667,-52,,,,,2021-03-15,15.0
2.42500,-52,,,,,2021-03-15,15.0
2.43333,-51,,,,,2021-03-15,15.0
2.44167,-50,,,,,2021-03-15,15.0
2.45000,-49,,,,,2021-03-15,15.0
2.45833,-48,,,,,2021-03-15,15.0
2.46667,-47,,,,,2021-03-15,15.0
2.47500,-46,,,,,2021-03-15,15.0
2.48333,-46,,,,,2021-03-15,15.0
2.49167,-45,,,,,2021-03-15,15.0
2.50000,-44,,,,,2021-03-15,15.0
2.50833,-44,,,,,2021-03-15,15.0
2.51667,-43,,,,,2021-03-15,15.0
2.52500,-42,,,,,2021-03-15,15.0
2.53333,-42,,,,,2021-03-15,15.0
2.54167,-41,,,,,2021-03-15,15.0
2.55000,-41,,,,,2021-03-15,15.0
2.55833,-40,,,,,2021-03-15,15.0
2.56667,-40,,,,,2021-03-15,15.0
2.57500,-40,,,,,2021-03-15,15.0
2.58333,-39,,,,,2021-03-15,15.0
2.59167,-39,,,,,2021-03-15,15.0
2.60000,-39,,,,,2021-03-15,15.0
2.60833,-39,,,,,2021-03-15,15.0
2.61667,-39,,,,,2021-03-15,15.0
2.62500,-39,,,,,2021-03-15,15.0
2.63333,-40,,,,,2021-03-15,15.0
2.64167,-40,,,,,2021-03-15,15.0
2.65000,-40,,,,,2021-03-15,15.0
2.65833,-40,,,,,2021-03-15,15.0
2.66667,-41,,,,,2021-03-15,15.0
2.67500,-41,,,,,2021-03-15,15.0
2.68333,-42,,,,,2021-03-15,15.0
2.69167,-42,,,,,2021-03-15,15.0
2.70000,-42,,,,,2021-03-15,15.0
2.70833,-42,,,,,2021-03-15,15.0
2.71667,-42,,,,,2021-03-15,15.0
2.72500,-43,,,,,2021-03-15,15.0
2.73333,-43,,,,,2021-03-15,15.0
2.74167,-43,,,,,2021-03-15,15.0
2.75000,-44,,,,,2021-03-15,15.0
2.75833,-45,,,,,2021-03-15,15.0
2.76667,-46,,,,,2021-03-15,15.0
2.77500,-46,,,,,2021-03-15,15.0
2.78333,-47,,,,,2021-03-15,15.0
2.79167,-47,,,,,2021-03-15,15.0
2.80000,-48,,,,,2021-03-15,15.0
2.80833,-49,,,,,2021-03-15,15.0
2.81667,-49,,,,,2021-03-15,15.0
2.82500,-50,,,,,2021-03-15,15.0
2.83333,-50,,,,,2021-03-15,15.0
2.84167,-51,,,,,2021-03-15,15.0
2.85000,-51,,,,,2021-03-15,15.0
2.85833,-52,,,,,2021-03-15,15.0
2.86667,-52,,,,,2021-03-15,15.0
2.87500,-52,,,,,2021-03-15,15.0
2.88333,-53,,,,,2021-03-15,15.0
2.89167,-54,,,,,2021-03-15,15.0
2.90000,-55,,,,,2021-03-15,15.0
2.90833,-56,,,,,2021-03-15,15.0
2.91667,-56,,,,,2021-03-15,15.0
2.92500,-56,,,,,2021-03-15,15.0
2.93333,-57,,,,,2021-03-15,15.0
2.94167,-57,,,,,2021-03-15,15.0
2.95000,-57,,,,,2021-03-15,15.0
2.95833,-57,,,,,2021-03-15,15.0
2.96667,-57,,,,,2021-03-15,15.0
2.97500,-58,,,,,2021-03-15,15.0
2.98333,-58,,,,,2021-03-15,15.0
2.99167,-58,,,,,2021-03-15,15.0
3.00000,-58,,,,,2021-03-15,15.0
3.00833,-58,,,,,2021-03-15,15.0
3.01667,-58,,,,,2021-03-15,15.0
3.02500,-58,,,,,2021-03-15,15.0
3.03333,-59,,,,,2021-03-15,15.0
3.04167,-59,,,,,2021-03-15,15.0
3.05000,-59,,,,,2021-03-15,15.0
3.05833,-59,,,,,2021-03-15,15.0
3.06667,-58,,,,,2021-03-15,15.0
3.07500,-58,,,,,2021-03-15,15.0
3.08333,-58,,,,,2021-03-15,15.0
3.09167,-57,,,,,2021-03-15,15.0
3.10000,-57,,,,,2021-03-15,15.0
3.10833,-56,,,,,2021-03-15,15.0
3.11667,-56,,,,,2021-03-15,15.0
3.12500,-55,,,,,2021-03-15,15.0
3.13333,-55,,,,,2021-03-15,15.0
3.14167,-55,,,,,2021-03-15,15.0
3.15000,-54,,,,,2021-03-15,15.0
3.15833,-53,,,,,2021-03-15,15.0
3.16667,-52,,,,,2021-03-15,15.0
3.17500,-52,,,,,2021-03-15,15.0
3.18333,-51,,,,,2021-03-15,15.0
3.19167,-51,,,,,2021-03-15,15.0
3.20000,-50,,,,,2021-03-15,15.0
3.20833,-50,,,,,2021-03-15,15.0
3.21667,-49,,,,,2021-03-15,15.0
3.22500,-49,,,,,2021-03-15,15.0
3.23333,-48,,,,,2021-03-15,15.0
3.24167,-47,,,,,2021-03-15,15.0
3.25000,-47,,,,,2021-03-15,15.0
3.25833,-46,,,,,2021-03-15,15.0
3.26667,-46,,,,,2021-03-15,15.0
3.27500,-45,,,,,2021-03-15,15.0
3.28333,-44,,,,,2021-03-15,15.0
3.29167,-43,,,,,2021-03-15,15.0
3.30000,-43,,,,,2021-03-15,15.0
3.30833,-42,,,,,2021-03-15,15.0
3.31667,-42,,,,,2021-03-15,15.0
3.32500,-41,,,,,2021-03-15,15.0
3.33333,-41,,,,,2021-03-15,15.0
3.34167,-40,,,,,2021-03-15,15.0
3.35000,-40,,,,,2021-03-15,15.0
3.35833,-40,,,,,2021-03-15,15.0
3.36667,-39,,,,,2021-03-15,15.0
3.37500,-38,,,,,2021-03-15,15.0
3.38333,-38,,,,,2021-03-15,15.0
3.39167,-37,,,,,2021-03-15,15.0
3.40000,-37,,,,,2021-03-15,15.0
3.40833,-37,,,,,2021-03-15,15.0
3.41667,-37,,,,,2021-03-15,15.0
3.42500,-37,,,,,2021-03-15,15.0
3.43333,-37,,,,,2021-03-15,15.0
3.44167,-37,,,,,2021-03-15,15.0
3.45000,-37,,,,,2021-03-15,15.0
3.45833,-38,,,,,2021-03-15,15.0
3.46667,-39,,,,,2021-03-15,15.0
3.47500,-39,,,,,2021-03-15,15.0
3.48333,-40,,,,,2021-03-15,15.0
3.49167,-41,,,,,2021-03-15,15.0
3.50000,-42,,,,,2021-03-15,15.0
3.50833,-43,,,,,2021-03-15,15.0
3.51667,-44,,,,,2021-03-15,15.0
3.52500,-45,,,,,2021-03-15,15.0
3.53333,-46,,,,,2021-03-15,15.0
3.54167,-47,,,,,2021-03-15,15.0
3.55000,-47,,,,,2021-03-15,15.0
3.55833,-48,,,,,2021-03-15,15.0
3.56667,-49,,,,,2021-03-15,15.0
3.57500,-50,,,,,2021-03-15,15.0
3.58333,-50,,,,,2021-03-15,15.0
3.59167,-51,,,,,2021-03-15,15.0
3.60000,-51,,,,,2021-03-15,15.0
3.60833,-52,,,,,2021-03-15,15.0
3.61667,-52,,,,,2021-03-15,15.0
3.62500,-53,,,,,2021-03-15,15.0
3.63333,-54,,,,,2021-03-15,15.0
3.64167,-54,,,,,2021-03-15,15.0
3.65000,-55,,,,,2021-03-15,15.0
3.65833,-55,,,,,2021-03-15,15.0
3.66667,-56,,,,,2021-03-15,15.0
3.67500,-57,,,,,2021-03-15,15.0
3.68333,-57,,,,,2021-03-15,15.0
3.69167,-58,,,,,2021-03-15,15.0
3.70000,-59,,,,,2021-03-15,15.0
3.70833,-60,,,,,2021-03-15,15.0
3.71667,-61,,,,,2021-03-15,15.0
3.72500,-62,,,,,2021-03-15,15.0
3.73333,-62,,,,,2021-03-15,15.0
3.74167,-64,,,,,2021-03-15,15.0
3.75000,-65,,,,,2021-03-15,15.0
3.75833,-66,,,,,2021-03-15,15.0
3.76667,-67,,,,,2021-03-15,15.0
3.77500,-68,,,,,2021-03-15,15.0
3.78333,-69,,,,,2021-03-15,15.0
3.79167,-70,,,,,2021-03-15,15.0
3.80000,-71,,,,,2021-03-15,15.0
3.80833,-72,,,,,2021-03-15,15.0
3.81667,-72,,,,,2021-03-15,15.0
3.82500,-73,,,,,2021-03-15,15.0
3.83333,-73,,,,,2021-03-15,15.0
3.84167,-74,,,,,2021-03-15,15.0
3.85000,-75,,,,,2021-03-15,15.0
3.85833,-76,,,,,2021-03-15,15.0
3.86667,-76,,,,,2021-03-15,15.0
3.87500,-77,,,,,2021-03-15,15.0
3.88333,-77,,,,,2021-03-15,15.0
3.89167,-78,,,,,2021-03-15,15.0
3.90000,-78,,,,,2021-03-15,15.0
3.90833,-79,,,,,2021-03-15,15.0
3.91667,-79,,,,,2021-03-15,15.0
3.92500,-80,,,,,2021-03-15,15.0
3.93333,-80,,,,,2021-03-15,15.0
3.94167,-80,,,,,2021-03-15,15.0
3.95000,-80,,,,,2021-03-15,15.0
3.95833,-80,,,,,2021-03-15,15.0
3.96667,-80,,,,,2021-03-15,15.0
3.97500,-80,,,,,2021-03-15,15.0
3.98333,-80,,,,,2021-03-15,15.0
3.99167,-80,,,,,2021-03-15,15.0
4.00000,-80,,,,,2021-03-15,15.0
4.00833,-80,,,,,2021-03-15,15.0
4.01667,-80,,,,,2021-03-15,15.0
4.02500,-79,,,,,2021-03-15,15.0
4.03333,-79,,,,,2021-03-15,15.0
4.04167,-78,,,,,2021-03-15,15.0
4.05000,-77,,,,,2021-03-15,15.0
4.05833,-77,,,,,2021-03-15,15.0
4.06667,-76,,,,,2021-03-15,15.0
4.07500,-75,,,,,2021-03-15,15.0
4.08333,-74,,,,,2021-03-15,15.0
4.09167,-73,,,,,2021-03-15,15.0
4.10000,-73,,,,,2021-03-15,15.0
4.10833,-72,,,,,2021-03-15,15.0
4.11667,-71,,,,,2021-03-15,15.0
4.12500,-70,,,,,2021-03-15,15.0
4.13333,-69,,,,,2021-03-15,15.0
4.14167,-68,,,,,2021-03-15,15.0
4.15000,-67,,,,,2021-03-15,15.0
4.15833,-65,,,,,2021-03-15,15.0
4.16667,-64,,,,,2021-03-15,15.0
4.17500,-62,,,,,2021-03-15,15.0
4.18333,-61,,,,,2021-03-15,15.0
4.19167,-61,,,,,2021-03-15,15.0
4.20000,-60,,,,,2021-03-15,15.0
4.20833,-59,,,,,2021-03-15,15.0
4.21667,-58,,,,,2021-03-15,15.0
4.22500,-57,,,,,2021-03-15,15.0
4.23333,-56,,,,,2021-03-15,15.0
4.24167,-55,,,,,2021-03-15,15.0
4.25000,-53,,,,,2021-03-15,15.0
4.25833,-52,,,,,2021-03-15,15.0
4.26667,-51,,,,,2021-03-15,15.0
4.27500,-51,,,,,2021-03-15,15.0
4.28333,-50,,,,,2021-03-15,15.0
4.29167,-49,,,,,2021-03-15,15.0
4.30000,-48,,,,,2021-03-15,15.0
4.30833,-48,,,,,2021-03-15,15.0
4.31667,-47,,,,,2021-03-15,15.0
4.32500,-46,,,,,2021-03-15,15.0
4.33333,-45,,,,,2021-03-15,15.0
4.34167,-44,,,,,2021-03-15,15.0
4.35000,-43,,,,,2021-03-15,15.0
4.35833,-43,,,,,2021-03-15,15.0
4.36667,-42,,,,,2021-03-15,15.0
4.37500,-42,,,,,2021-03-15,15.0
4.38333,-42,,,,,2021-03-15,15.0
4.39167,-41,,,,,2021-03-15,15.0
4.40000,-41,,,,,2021-03-15,15.0
4.40833,-41,,,,,2021-03-15,15.0
4.41667,-41,,,,,2021-03-15,15.0
4.42500,-41,,,,,2021-03-15,15.0
4.43333,-40,,,,,2021-03-15,15.0
4.44167,-40,,,,,2021-03-15,15.0
4.45000,-40,,,,,2021-03-15,15.0
4.45833,-39,,,,,2021-03-15,15.0
4.46667,-39,,,,,2021-03-15,15.0
4.47500,-39,,,,,2021-03-15,15.0
4.48333,-39,,,,,2021-03-15,15.0
4.49167,-39,,,,,2021-03-15,15.0
4.50000,-39,,,,,2021-03-15,15.0
4.50833,-39,,,,,2021-03-15,15.0
4.51667,-39,,,,,2021-03-15,15.0
4.52500,-39,,,,,2021-03-15,15.0
4.53333,-40,,,,,2021-03-15,15.0
4.54167,-40,,,,,2021-03-15,15.0
4.55000,-40,,,,,2021-03-15,15.0
4.55833,-40,,,,,2021-03-15,15.0
4.56667,-40,,,,,2021-03-15,15.0
4.57500,-41,,,,,2021-03-15,15.0
4.58333,-41,,,,,2021-03-15,15.0
4.59167,-41,,,,,2021-03-15,15.0
4.60000,-42,,,,,2021-03-15,15.0
4.60833,-42,,,,,2021-03-15,15.0
4.61667,-43,,,,,2021-03-15,15.0
4.62500,-44,,,,,2021-03-15,15.0
4.63333,-44,,,,,2021-03-15,15.0
4.64167,-45,,,,,2021-03-15,15.0
4.65000,-45,,,,,2021-03-15,15.0
4.65833,-46,,,,,2021-03-15,15.0
4.66667,-47,,,,,2021-03-15,15.0
4.67500,-47,,,,,2021-03-15,15.0
4.68333,-48,,,,,2021-03-15,15.0
4.69167,-49,,,,,2021-03-15,15.0
4.70000,-49,,,,,2021-03-15,15.0
4.70833,-50,,,,,2021-03-15,15.0
4.71667,-51,,,,,2021-03-15,15.0
4.72500,-51,,,,,2021-03-15,15.0
4.73333,-51,,,,,2021-03-15,15.0
4.74167,-52,,,,,2021-03-15,15.0
4.75000,-53,,,,,2021-03-15,15.0
4.75833,-53,,,,,2021-03-15,15.0
4.76667,-54,,,,,2021-03-15,15.0
4.77500,-55,,,,,2021-03-15,15.0
4.78333,-56,,,,,2021-03-15,15.0
4.79167,-57,,,,,2021-03-15,15.0
4.80000,-58,,,,,2021-03-15,15.0
4.80833,-58,,,,,2021-03-15,15.0
4.81667,-59,,,,,2021-03-15,15.0
4.82500,-60,,,,,2021-03-15,15.0
4.83333,-61,,,,,2021-03-15,15.0
4.84167,-62,,,,,2021-03-15,15.0
4.85000,-62,,,,,2021-03-15,15.0
4.85833,-63,,,,,2021-03-15,15.0
4.86667,-64,,,,,2021-03-15,15.0
4.87500,-65,,,,,2021-03-15,15.0
4.88333,-66,,,,,2021-03-15,15.0
4.89167,-67,,,,,2021-03-15,15.0
4.90000,-68,,,,,2021-03-15,15.0
4.90833,-69,,,,,2021-03-15,15.0
